Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees
HTGF | High-Tech Gruenderfonds,https://www.crunchbase.com/organization/high-tech-gründerfonds,Venture Capital,935,124,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","High-Tech Gruenderfonds specializes in investments in seed or startups, early venture, seed capital, and mezzanine financing.",253,655,4,Active,2005-09-01,day,https://www.htgf.de,http://www.linkedin.com/company/high-tech-grunderfonds,"Financial Services, Hardware, Health Care, Lending and Investments, Software","Hardware, Health Care, Software, Venture Capital",1,Alexander von Frankenberg,101-250
Capnamic Ventures,https://www.crunchbase.com/organization/capnamic-ventures,Venture Capital,116,17,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Capnamic is a venture capital firm from Berlin/Cologne doing early-stage investments in outstanding teams in Germany/Austria/Switzerland.,49,68,,Active,2012-01-01,year,http://capnamic.com,https://www.linkedin.com/company/2959106,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",4,"André Christ, Christian Siegele, Jorg Binnenbrucker, Jörg Beyer",11-50
coparion,https://www.crunchbase.com/organization/coparion,"Accelerator, Venture Capital",94,11,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Coparion provides venture capital to accelerate momentum and growth.,5,53,,Active,2016-01-01,year,https://www.coparion.vc/en,https://www.linkedin.com/company/coparion-gmbh-&-co.-kg,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Christian Schulte, David Zimmer",11-50
TEV Ventures,https://www.crunchbase.com/organization/tengelmann-ventures,Venture Capital,86,24,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Venture Capital for Europe's Most Ambitious.,26,57,4,Active,2009-01-01,year,https://www.cuspcapital.com,https://www.linkedin.com/company/tev-ventures/,"Community and Lifestyle, Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, Social, Venture Capital",,,11-50
DvH Ventures,https://www.crunchbase.com/organization/dvh-ventures,Venture Capital,63,6,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Dieter von Holtzbrinck Ventures (DvH Ventures) is one of the leading European early-stage investors.,19,37,,Active,2014-01-01,year,http://dvhventures.de/,https://www.linkedin.com/company/dieter-von-holtzbrinck-ventures-gmbh/,"Education, Financial Services, Health Care, Lending and Investments","Education, FinTech, Health Care, Venture Capital",3,"Duc Quyen Tran, Fabian von Trotha, Peter Richarz",1-10
Enjoyventure Management,https://www.crunchbase.com/organization/enjoyventure-management,Venture Capital,47,6,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The EnjoyVenture Management is a private equity company that focuses its investments on the seed and early-stage companies.,25,44,,Active,2000-01-01,year,http://www.enjoyventure.vc,https://www.linkedin.com/company/enjoyventure-management-gmbh/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",2,"Peter Wolff, Wolfgang Lubert",11-50
TechVision Fund,https://www.crunchbase.com/organization/techvision-fonds,Venture Capital,44,6,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The early stage investor that provides smart money and hands-on support for visionary founders of tomorrow‘s category leaders - really.,36,39,,Active,2002-06-21,day,https://www.TechVision-Fonds.de,https://www.linkedin.com/company/techvision-fonds/,"Financial Services, Lending and Investments","Financial Services, Venture Capital",,,11-50
Statkraft Ventures,https://www.crunchbase.com/organization/statkraft-ventures,Venture Capital,44,4,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Statkraft Ventures is a venture capital investor focused on the energy transition and climate tech.,19,28,,Active,2015-01-01,year,http://www.statkraftventures.com/,https://www.linkedin.com/company/statkraft-ventures/,"Energy, Financial Services, Lending and Investments, Natural Resources, Sustainability","Energy, Venture Capital, Wind Energy",1,Anders Prietz,1001-5000
Media Ventures,https://www.crunchbase.com/organization/media-ventures,Venture Capital,42,10,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Media Ventures is an private venture capital company.,30,36,,Active,2000-01-01,year,http://mediaventures.de,,"Financial Services, Internet Services, Lending and Investments, Media and Entertainment","Finance, Social Media, Venture Capital",1,Dirk Ströer,1-10
Freigeist Capital,https://www.crunchbase.com/organization/e42-ventures,Venture Capital,38,7,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Freigeist is a venture capital fund specialized on deep tech seed stage investments.,21,31,1,Active,2017-01-01,year,https://freigeist.com/,https://www.linkedin.com/company/freigeistcap/,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",4,"Alex Koch, Frank Thelen, Marc Sieberger, Niklas Hebborn",11-50
